code,id
AF,2004
AL,2008
AQ,2010
DZ,2012
AS,2016
AD,2020
AO,2024
AG,2028
AZ,2031
AR,2032
AU,2036
AT,2040
BS,2044
BH,2048
BD,2050
AM,2051
BB,2052
BE,2056
BT,2064
BO,2068
BA,2070
BW,2072
BR,2076
BZ,2084
SB,2090
BN,2096
BG,2100
MM,2104
BI,2108
BY,2112
KH,2116
CM,2120
CA,2124
CV,2132
CF,2140
LK,2144
TD,2148
CL,2152
CN,2156
CX,2162
CC,2166
CO,2170
KM,2174
CG,2178
CD,2180
CK,2184
CR,2188
HR,2191
CY,2196
CZ,2203
BJ,2204
DK,2208
DM,2212
DO,2214
EC,2218
SV,2222
GQ,2226
ET,2231
ER,2232
EE,2233
GS,2239
FJ,2242
FI,2246
FR,2250
PF,2258
TF,2260
DJ,2262
GA,2266
GE,2268
GM,2270
DE,2276
GH,2288
KI,2296
GR,2300
GD,2308
GU,2316
GT,2320
GN,2324
GY,2328
HT,2332
HM,2334
VA,2336
HN,2340
HU,2348
IS,2352
IN,2356
ID,2360
IQ,2368
IE,2372
IL,2376
IT,2380
CI,2384
JM,2388
JP,2392
KZ,2398
JO,2400
KE,2404
KR,2410
KW,2414
KG,2417
LA,2418
LB,2422
LS,2426
LV,2428
LR,2430
LY,2434
LI,2438
LT,2440
LU,2442
MG,2450
MW,2454
MY,2458
MV,2462
ML,2466
MT,2470
MR,2478
MU,2480
MX,2484
MC,2492
MN,2496
MD,2498
ME,2499
MA,2504
MZ,2508
OM,2512
NR,2520
NP,2524
NL,2528
CW,2531
SX,2534
BQ,2535
NC,2540
VU,2548
NZ,2554
NI,2558
NE,2562
NG,2566
NU,2570
NF,2574
NO,2578
MP,2580
UM,2581
FM,2583
MH,2584
PW,2585
PK,2586
PA,2591
PG,2598
PY,2600
PE,2604
PH,2608
PN,2612
PL,2616
PT,2620
GW,2624
TL,2626
QA,2634
RO,2642
RU,2643
RW,2646
SH,2654
KN,2659
LC,2662
PM,2666
VC,2670
SM,2674
ST,2678
SA,2682
SN,2686
RS,2688
SC,2690
SL,2694
SG,2702
SK,2703
VN,2704
SI,2705
SO,2706
ZA,2710
ZW,2716
ES,2724
SR,2740
SZ,2748
SE,2752
CH,2756
TJ,2762
TH,2764
TG,2768
TK,2772
TO,2776
TT,2780
AE,2784
TN,2788
TR,2792
TM,2795
TV,2798
UG,2800
UA,2804
MK,2807
EG,2818
GB,2826
GG,2831
JE,2832
TZ,2834
US,2840
BF,2854
UY,2858
UZ,2860
VE,2862
WF,2876
WS,2882
YE,2887
ZM,2894
